Seed,Dataset,Model,HyperOpt params
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
